"manufacturer" "model" "description" "euro_standard" "transmission_type" "engine_capacity" "fuel_type" "urban_metric" "extra_urban_metric" "combined_metric" "noise_level" "co2" "co_emissions" "nox_emissions"
"BMW" "5 Series F10/F11 From March 2010" "530d Saloon - 225/55 R17 tyres front & rear" "6" "Automatic" 2993 "Diesel" 6.1 4.8 5.3 70 139 170 40
"Mercedes-Benz" "CL-Class (C215) Coupé" "CL55 AMG" "3" "Automatic" 5439 "Petrol" 19.7 9.5 13.2 74 317 322 14
"BMW" "5 Series F10/F11 From March 2010" "520d Touring - 225/55 R17 tyres front & rear" "6" "Automatic" 1995 "Diesel" 5.8 4.6 5 73 132 175 41
"Volvo" "V70 Model Year 2002" "2.4T" "3" "Automatic" 2435 "Petrol" 15.1 8 10.6 71 252 829 56
"Honda" "Jazz, Model Year 2012" "1.4 i-VTEC ES, ES-T" "5" "Manual" 1339 "Petrol" 6.6 4.8 5.5 69 126 408 16
"BMW" "5 Series F10/F11 From March 2010" "530d Touring - 245/40 R19 tyres front & rear" "6" "Automatic" 2993 "Diesel" 6.7 5.2 5.8 70 152 170 40
"Volkswagen" "Multi-Van" "2.5 TDI (88 bhp)" "3" "Manual" 2461 "Diesel" 10.3 7.1 8.3 73.5 224 503 623
"Jaguar Cars" "Jaguar XJ8" "4.0" "3" "Automatic" 3996 "Petrol" 17.2 8.9 11.9 72.9 287 360 10
"Mercedes-Benz" "E-Class (W210) Saloon" "E 320" "3" "Automatic" 3199 "Petrol" 16 7.7 10.8 71 259 200 100
"Nissan" "Primera - P12 Series" "1.8 4/5 door" "3" "Automatic" 1769 "Petrol" 10.4 6.6 8 70 192 600 100
"Mercedes-Benz" "C-Class Saloon, Model Year 2011" "C 350 CGI with 18\" rear wheels" "5" "Automatic" 3498 "Petrol" 14.5 7.8 10.2 73 239 209 19
"Volkswagen" "Golf Plus" "1.4 (80ps)" "4" "Manual" 1390 "Petrol" 9.6 5.7 7.1 73 169 188 22
"Metrocab" "TAXI TTT" "2.4 Turbo" "3" "Manual" 2446 "Diesel" 11.2 8.9 9.8 73 257 100 700
"Vauxhall" "Vectra, MY2006" "1.9CDTi 8v 120PS  5 Door Estate without 18\"/19\" tyre" "4" "Manual" 1910 "Diesel" 7.6 4.9 5.9 74 159 99 173
"Volvo" "All-New V70 Model Year 08" "T6 AWD" "4" "Automatic" 2953 "Petrol" 16.7 8.1 11.3 74 270 140 34
"Mercedes-Benz" "E-Class Saloon, Model Year 2011" "E 350 BLUETEC with 17\" rear wheels" "6" "Automatic" 2987 "Diesel" 9.9 5.4 7 72 184 347 64
"Saab" "9-5 MY2009 4 Door Saloon" "2.0LPT" "4" "Manual" 1985 "Petrol" 12.1 6.6 8.6 72 204 489 42
"Mercedes-Benz" "C-Class Estate (S203)" "C280 up to 245 Tyres" "4" "Automatic" 2997 "Petrol" 13.5 7.7 9.9 70 236 312 8
"MG Rover Group" "Rover 75 Saloon" "2.0 D - 85kW" "3" "Manual" 1951 "Diesel" 7.7 4.7 5.8 74 163 200 400
"BMW" "1 Series 5-door F20 From September 2011" "120d 5-door - 205/50 R17 tyres front & rear" "6" "Manual" 1995 "Diesel" 5.8 4.1 4.7 74 124 174 72
"Lexus" "RX, MY2012" "RX450h SE" "5" "Automatic" 3456 "Hybrid" 6.5 6 6.3 71.6 145 245 7
"Honda" "Civic Hybrid Model Year 2010" "1.4 IMA ES Saloon" "5" "Automatic" 1339 "Hybrid" 5.2 4.3 4.6 68 109 190 12
"Vauxhall" "Vectra, MY2004" "1.9CDTI 16v (150PS) Design 5 Door Hatchback From VIN: W0L0ZCF6848062124" "4" "Manual" 1910 "Diesel" 7.6 4.9 5.9 73 159 98 208
"Fiat" "Fiorino" "1.3 16v MultiJet" "4" "Manual" 1248 "Diesel" 5.5 3.7 4.4 73 115 188 209
"BMW" "3 Series E46" "320i Saloon" "3" "Manual" 2171 "Petrol" 12.2 6.9 8.9 74 213 765 15
"BMW" "3 Series E46" "M3 Convertible-SMG" "4" "Manual" 3246 "Petrol" 20.6 9.5 13.6 75 328 438 51
"Honda" "Insight Model Year 2011" "1.3 IMA SE SE-T" "5" "Automatic" 1339 "Hybrid" 4.6 4.2 4.4 67 101 54 7
